danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo
0.606,0.912,7,-6.778,1,0.0395,0.0924,0.0,0.474,0.775,101.393
0.516,0.384,0,-9.472,1,0.0345,0.484,4.2e-05,0.33,0.209,122.015
0.696,0.943,4,-2.962,1,0.043,0.0736,0.0,0.653,0.832,129.002
0.567,0.945,9,-7.243,1,0.0458,0.175,2.6e-06,0.35,0.961,150.792
0.752,0.684,0,-7.599,1,0.15,0.0994,0.0,0.0897,0.539,141.075
0.69,0.837,7,-8.312,1,0.0289,0.127,7.2e-06,0.102,0.967,113.817
0.631,0.749,7,-8.15,1,0.0576,0.205,5.21e-06,0.0667,0.437,89.646
0.503,0.955,11,-1.533,1,0.381,0.0265,0.0,0.265,0.818,173.521
0.64,0.864,7,-6.576,1,0.0314,0.00832,0.0,0.123,0.701,102.026
0.721,0.802,1,-5.797,1,0.0583,0.0921,0.0,0.694,0.724,124.022
0.576,0.807,2,-4.602,1,0.0454,0.0157,0.0,0.0338,0.765,158.002
0.589,0.966,11,-4.106,1,0.0972,0.03,0.0,0.147,0.802,129.983
0.695,0.837,1,-5.617,0,0.281,0.245,0.0,0.367,0.639,115.067
0.793,0.774,0,-3.667,0,0.0478,0.156,0.0,0.193,0.547,113.967
0.869,0.691,7,-6.872,1,0.192,0.12,0.0,0.102,0.875,95.019
0.69,0.937,10,-5.393,1,0.0642,0.0894,0.000104,0.0532,0.794,122.951
0.671,0.939,8,-3.206,1,0.161,0.191,0.0,0.298,0.53,129.024
0.67,0.855,0,-3.035,0,0.0499,0.0124,0.0,0.335,0.648,120.05
0.82,0.731,9,-6.02,1,0.159,0.0133,1.94e-05,0.131,0.793,127.076
0.851,0.629,1,-8.385,1,0.175,0.00705,0.000372,0.0746,0.789,125.984
0.758,0.686,11,-6.346,1,0.0792,0.0848,0.00127,0.142,0.444,130.007
0.673,0.758,7,-3.632,1,0.158,0.039,0.0,0.341,0.542,135.956
0.722,0.958,4,-3.617,1,0.0912,0.00726,0.0,0.375,0.952,127.008
0.731,0.915,0,-4.453,1,0.043,0.00191,1.16e-06,0.324,0.789,127.086
0.592,0.935,6,-4.317,0,0.0581,0.00879,0.0154,0.132,0.567,125.013
0.967,0.583,7,-5.562,0,0.0789,0.0584,0.0,0.0519,0.964,117.0
0.574,0.512,5,-6.664,0,0.0503,0.234,0.0,0.0946,0.512,76.899
0.748,0.788,1,-7.055,1,0.0334,0.0591,0.0,0.0863,0.884,120.076
0.722,0.761,11,-4.459,0,0.0475,0.0117,0.0,0.315,0.624,128.044
